Abbrev,Rep,Sp,DBH,Ht,Surv,Vig,Ins_res,Stem_Fm,Crown_Fm,Brnch_Fm,Utility
K82,3,rd,4.84,4.13,50.0,2.0,1.5,3.0,3.0,3.0,low
K82,3,sm,7.58,6.06,38.0,2.0,2.0,3.0,3.0,3.0,low
WSp,1,am,24.24,17.9,38.0,3.5,3.5,3.0,3.3,2.5,good
WSp,1,am,20.24,14.6,63.0,3.0,3.5,3.0,3.7,2.5,good
WSp,1,co,17.4,14.14,63.0,3.5,4.0,3.7,4.0,3.5,good
WSp,1,cr,17.36,15.64,50.0,3.5,3.5,2.5,2.5,2.5,average
WSp,1,nd,15.02,9.92,100.0,3.5,4.0,2.7,4.0,2.5,good
WSp,1,nd,17.83,11.8,50.0,3.0,3.0,3.0,4.0,2.5,good
WSp,1,ni,20.8,10.23,13.0,3.0,3.0,3.0,2.5,3.0,average
WSp,1,ni,24.89,16.71,63.0,3.0,2.5,2.7,3.0,2.0,average
WSp,1,ob,19.13,10.66,38.0,3.5,3.0,2.5,2.5,2.0,good
WSp,1,ob,17.59,12.2,50.0,3.0,2.7,3.0,3.5,2.7,average
WSp,1,ov,19.35,17.3,50.0,2.5,2.0,3.2,4.0,4.0,average
WSp,1,pu,21.7,17.42,88.0,3.0,3.5,3.0,3.3,2.3,good
WSp,1,re,7.84,3.34,38.0,2.0,2.3,1.5,2.0,2.0,low
WSp,1,re,25.57,17.43,50.0,3.7,3.0,2.7,3.0,2.0,average
WSp,1,rd,6.87,9.4,50.0,1.5,3.0,2.0,2.0,2.0,none
WSp,1,fr,31.87,20.52,25.0,3.7,3.5,2.5,2.5,1.5,average
WSp,1,re,15.11,15.54,75.0,3.7,3.0,3.3,3.5,3.5,good
WSp,1,nd,21.72,14.75,38.0,3.0,3.0,3.0,4.0,2.3,good
WSp,2,am,24.95,19.69,50.0,3.5,3.0,2.7,3.0,2.7,good
WSp,2,am,17.35,16.11,38.0,3.0,3.0,2.5,3.5,2.5,good
WSp,2,co,18.81,19.09,75.0,3.0,3.0,3.5,4.0,3.0,best
WSp,2,cr,15.35,11.87,75.0,2.9,2.7,2.5,3.0,2.5,average
WSp,2,fa,22.6,12.61,63.0,3.5,3.0,2.0,2.0,1.5,average
WSp,2,nd,21.45,16.76,75.0,3.0,3.2,3.3,3.5,3.0,good
WSp,2,nd,15.15,15.82,75.0,3.0,3.0,3.1,3.4,3.0,good
WSp,2,ni,20.46,19.26,50.0,3.0,2.2,3.3,3.3,3.0,good
WSp,2,ob,20.8,15.41,25.0,3.5,2.8,3.3,3.2,3.5,good
WSp,2,ob,22.98,19.9,50.0,4.0,2.7,3.5,3.3,3.5,best
WSp,2,ov,16.99,16.52,25.0,3.0,2.7,3.2,3.7,3.2,average
WSp,2,ov,19.67,20.14,50.0,3.0,2.0,3.3,3.7,4.0,good
WSp,2,pa,29.47,14.67,88.0,4.0,4.0,3.0,3.0,1.7,best
WSp,2,pu,23.29,17.74,75.0,3.0,3.0,3.0,3.5,2.5,best
WSp,2,re,24.55,15.98,13.0,3.0,2.7,4.0,3.3,3.0,average
WSp,2,re,23.53,21.06,50.0,4.5,3.5,3.3,3.2,2.8,good
WSp,2,rd,3.62,6.03,25.0,1.0,3.0,2.5,2.5,3.0,none
WSp,2,fr,31.73,18.88,63.0,3.8,3.2,3.0,3.0,2.0,good
WSp,2,ob,18.88,10.53,63.0,3.5,3.0,2.0,2.0,1.5,average
WSp,2,re,24.4,20.33,75.0,4.5,3.5,3.3,3.2,2.8,good
WSp,3,am,18.4,14.18,50.0,3.5,3.2,2.0,2.5,1.5,good
WSp,3,am,18.59,8.26,13.0,2.5,3.5,2.0,2.0,2.0,average
WSp,3,co,14.87,15.56,38.0,3.5,3.5,3.3,3.3,3.0,good
WSp,3,nd,19.04,14.75,50.0,3.5,4.0,2.5,2.5,2.0,good
WSp,3,nd,15.55,12.87,63.0,3.0,3.0,2.5,3.0,2.0,good
WSp,3,ni,25.4,18.75,13.0,3.7,2.7,2.0,2.5,2.3,average
WSp,3,ob,21.7,17.33,25.0,3.3,3.0,3.0,3.0,3.0,good
WSp,3,ob,34.67,15.41,13.0,4.0,3.0,2.5,2.5,2.0,average
WSp,3,ov,7.4,13.38,25.0,1.0,2.0,3.2,3.0,3.0,none
WSp,3,ov,22.03,19.34,50.0,4.0,2.5,3.3,3.3,3.0,best
WSp,3,pa,32.75,16.37,50.0,4.0,4.0,2.0,2.0,2.0,best
WSp,3,pu,27.4,17.9,38.0,3.0,3.3,2.5,3.0,2.0,good
WSp,3,re,23.1,18.59,63.0,4.0,3.5,3.3,3.3,3.0,good
WSp,3,re,20.34,18.45,75.0,3.5,3.0,3.3,3.3,3.0,good
WSp,3,rd,5.18,4.82,38.0,1.0,2.0,2.0,2.0,2.0,none
WSp,3,fr,15.05,9.05,25.0,4.0,4.0,2.0,1.5,1.0,average
WSp,3,re,22.08,21.79,50.0,3.5,3.0,3.3,3.3,3.0,good
WSp,3,nd,26.28,20.11,25.0,3.1,3.0,3.0,3.0,2.0,good
K83,1,co,17.41,12.44,50.0,3.5,3.3,3.0,3.5,3.0,good
K83,1,cr,12.96,11.21,88.0,4.0,4.0,2.5,2.0,2.0,average
K83,1,co,6.77,7.19,75.0,3.0,3.0,2.7,3.0,3.0,average
K83,1,fa,2.95,4.43,13.0,1.0,2.0,3.0,3.0,3.0,none
K83,1,nd,7.68,6.56,50.0,3.0,3.5,3.5,4.0,4.0,average
K83,1,nd,16.69,11.67,75.0,3.0,3.8,3.4,4.0,3.5,average
K83,1,ob,8.46,7.05,13.0,2.0,3.0,3.0,3.0,3.0,low
K83,1,ov,5.35,5.9,25.0,2.0,1.8,2.0,2.5,3.0,low
K83,1,ov,14.82,14.23,50.0,3.0,1.7,4.0,4.0,3.5,good
K83,1,pa,9.19,7.81,50.0,2.8,3.0,3.0,4.0,3.0,none
K83,1,pu,5.19,4.44,13.0,1.5,2.5,3.0,3.0,3.0,none
K83,1,re,9.73,11.04,75.0,3.0,3.0,3.5,4.0,3.5,good
K83,1,rd,13.54,8.81,88.0,2.7,2.0,2.5,3.0,3.0,average
K83,1,fr,5.78,7.21,13.0,1.5,3.0,4.0,4.0,4.0,none
K83,2,cr,5.36,4.61,63.0,3.0,3.0,2.0,2.0,3.0,low
K83,2,co,11.88,9.81,63.0,3.0,4.0,2.5,2.5,2.5,average
K83,2,fa,14.03,9.9,63.0,3.5,4.0,3.5,3.0,3.0,good
K83,2,fa,23.63,11.82,88.0,4.5,4.0,3.0,2.5,2.0,good
K83,2,fr,10.39,8.66,38.0,3.0,3.5,3.0,4.0,3.0,average
K83,2,nd,7.83,6.79,100.0,3.0,3.0,3.5,4.5,3.5,good
K83,2,nd,11.23,10.34,50.0,3.0,3.5,3.3,4.0,3.5,good
K83,2,ni,9.13,8.01,75.0,2.8,2.0,3.3,3.3,3.0,average
K83,2,ni,11.66,8.57,75.0,3.0,2.5,2.5,2.5,2.5,low
K83,2,ob,3.81,4.93,13.0,2.0,2.5,3.0,4.0,3.0,none
K83,2,ov,16.16,10.98,13.0,3.5,2.5,3.0,4.0,3.0,good
K83,2,ov,8.83,7.91,63.0,3.5,2.5,3.5,4.0,4.0,good
K83,2,pa,1.38,1.53,13.0,1.0,1.0,3.0,3.0,3.0,none
K83,2,pu,1.48,2.96,13.0,1.0,3.0,3.0,3.0,3.0,none
K83,2,re,9.15,8.42,25.0,3.0,3.5,3.5,4.0,4.0,average
K83,2,re,4.79,4.36,38.0,2.0,3.5,3.5,4.0,3.5,low
K83,2,rd,6.7,6.83,75.0,2.7,2.7,3.0,3.5,3.5,low
K83,3,am,15.73,10.67,75.0,3.0,4.0,3.0,4.0,3.0,best
K83,3,am,13.13,11.49,88.0,3.0,4.0,3.0,4.0,4.0,best
K83,3,co,9.94,7.46,50.0,3.0,4.0,3.0,4.0,3.0,average
K83,3,cr,5.86,5.61,50.0,3.0,4.0,2.5,2.5,3.0,low
K83,3,co,9.12,9.67,50.0,3.0,4.0,3.0,3.0,3.0,average
K83,3,fa,6.94,5.17,38.0,2.5,3.0,3.0,4.0,3.5,low
K83,3,fa,16.25,13.29,13.0,3.0,4.0,4.0,3.5,3.0,average
K83,3,fr,1.59,2.89,38.0,2.5,3.0,3.0,3.0,3.0,low
K83,3,nd,5.32,5.91,50.0,3.0,4.0,3.5,4.0,3.5,average
K83,3,ni,24.73,14.19,88.0,4.5,3.0,3.0,3.0,2.8,best
K83,3,ni,9.13,7.02,13.0,2.8,2.5,3.0,3.0,2.5,low
K83,3,ob,1.41,2.82,13.0,1.0,3.0,3.0,3.0,3.0,none
K83,3,ob,2.11,3.1,38.0,1.3,3.0,3.0,3.0,3.0,none
K83,3,ob,21.43,14.1,38.0,4.0,3.5,3.0,3.5,3.0,good
K83,3,ov,8.75,7.27,38.0,3.5,2.5,3.0,4.0,3.3,low
K83,3,pa,3.37,3.68,50.0,2.0,2.5,3.0,4.0,3.0,low
K83,3,re,8.13,7.99,88.0,3.0,3.0,3.5,4.0,4.0,average
K83,3,rd,2.63,4.6,38.0,2.0,1.5,3.0,3.0,3.0,none
Lon,1,am,23.59,9.87,75.0,3.0,4.0,3.0,4.0,3.0,good
Lon,1,am,20.72,8.67,100.0,3.5,3.5,2.5,4.0,4.0,best
Lon,1,co,19.64,11.02,100.0,4.0,3.0,3.0,3.0,3.0,good
Lon,1,cr,14.13,8.85,100.0,3.0,2.5,1.5,2.0,2.0,low
Lon,1,fa,22.62,8.83,88.0,2.0,3.0,3.0,3.0,3.0,low
Lon,1,fa,15.98,6.24,63.0,3.5,4.0,2.8,2.8,2.5,average
Lon,1,nd,16.18,7.67,88.0,3.5,3.0,2.5,4.0,3.0,best
Lon,1,nd,18.44,8.74,100.0,3.5,3.5,2.8,4.0,2.8,good
Lon,1,ni,21.25,9.62,100.0,3.5,2.5,3.0,3.0,2.0,good
Lon,1,ni,16.7,7.64,100.0,3.5,2.8,3.0,3.0,2.0,good
Lon,1,ob,15.73,7.8,88.0,3.5,2.8,3.0,3.5,3.5,best
Lon,1,ob,16.55,8.21,100.0,3.5,3.0,3.5,3.3,3.0,good
Lon,1,ov,13.67,5.24,63.0,2.5,2.0,2.5,3.3,3.0,good
Lon,1,pa,12.8,7.25,50.0,2.3,4.5,2.5,3.0,3.0,average
Lon,1,re,20.82,11.37,88.0,2.5,3.3,3.3,3.0,2.3,average
Lon,1,rd,6.65,5.08,88.0,2.5,2.5,2.5,3.0,3.0,average
Lon,1,fr,18.88,9.59,75.0,3.0,3.0,3.0,3.3,3.0,good
Lon,2,am,24.3,10.49,50.0,3.5,3.0,3.0,4.0,2.5,good
Lon,2,am,16.5,7.08,75.0,3.0,3.5,2.5,4.0,3.0,good
Lon,2,co,17.62,9.9,88.0,3.3,3.3,3.0,3.5,3.3,good
Lon,2,cr,12.52,9.23,100.0,3.0,2.8,2.0,2.8,2.0,low
Lon,2,fa,21.8,8.52,100.0,2.0,3.0,3.0,3.0,3.0,none
Lon,2,fa,13.7,5.35,88.0,4.0,3.0,2.0,3.0,1.5,good
Lon,2,nd,10.97,5.2,50.0,3.3,3.0,3.3,4.0,3.5,good
Lon,2,nd,20.86,9.89,25.0,1.5,3.0,3.0,3.0,3.0,none
Lon,2,ni,20.31,9.27,100.0,4.0,2.5,2.8,2.5,2.5,good
Lon,2,ni,20.29,9.27,88.0,2.0,2.5,3.0,3.0,2.0,low
Lon,2,ob,7.6,3.76,63.0,2.0,3.0,3.0,3.0,3.0,none
Lon,2,ob,19.01,9.41,75.0,3.5,3.0,3.5,3.5,3.5,good
Lon,2,ov,16.15,6.19,100.0,3.0,2.3,3.0,4.0,4.0,good
Lon,2,pa,14.5,8.17,88.0,1.0,3.0,3.0,3.0,3.0,none
Lon,2,re,11.28,6.41,50.0,4.0,3.5,3.5,3.5,3.0,good
Lon,2,rd,13.31,8.75,75.0,2.8,3.0,2.5,3.0,2.5,low
Lon,2,fr,14.89,7.56,50.0,4.0,4.0,2.0,3.0,2.0,good
Lon,3,am,19.34,8.3,100.0,3.5,3.5,2.5,3.5,2.5,good
Lon,3,am,21.27,9.13,88.0,3.3,3.5,2.5,3.3,3.0,good
Lon,3,co,17.62,9.9,100.0,3.5,3.0,3.0,3.3,3.3,good
Lon,3,cr,10.36,7.54,100.0,2.7,3.0,2.0,2.0,2.0,low
Lon,3,fa,22.38,8.74,100.0,3.7,3.0,3.2,3.3,2.6,good
Lon,3,fa,6.34,3.65,100.0,3.0,3.0,2.0,2.5,2.5,low
Lon,3,nd,14.77,7.0,100.0,3.0,4.0,2.0,3.5,3.0,good
Lon,3,nd,10.11,4.79,100.0,2.7,3.5,2.8,4.0,4.0,good
Lon,3,ni,18.16,8.29,75.0,4.0,2.3,3.3,3.3,3.0,good
Lon,3,ni,21.09,9.63,63.0,4.0,3.0,4.0,3.3,3.0,good
Lon,3,ob,17.84,8.83,88.0,3.5,3.0,3.0,3.0,2.7,good
Lon,3,ob,18.3,9.06,50.0,3.5,3.0,2.5,3.0,2.5,average
Lon,3,ov,14.53,5.57,100.0,3.0,2.0,3.0,4.0,3.5,average
Lon,3,pa,13.26,8.94,100.0,4.0,4.0,3.0,3.5,3.5,good
Lon,3,re,11.55,6.56,100.0,3.0,2.7,3.3,4.0,4.0,good
Lon,3,rd,15.93,9.1,88.0,3.0,3.0,2.0,2.5,2.5,low
Lon,3,fr,14.25,7.23,63.0,4.0,3.0,3.0,2.8,2.0,average
Lon,3,fr,12.35,6.27,71.0,4.0,4.0,2.5,3.5,2.5,good
Lon,3,re,7.22,4.1,57.0,3.0,3.0,2.0,3.0,2.0,average
Puk,1,am,10.4,5.77,75.0,3.0,3.0,2.0,3.0,2.0,average
Puk,1,am,11.66,7.27,100.0,3.0,3.0,2.0,3.0,2.0,average
Puk,1,bxs,10.99,7.2,100.0,2.0,3.0,3.0,3.0,3.0,average
Puk,1,br,7.87,6.25,100.0,3.5,1.5,2.0,2.0,2.0,low
Puk,1,br,7.64,6.72,100.0,3.5,2.0,2.0,2.0,2.0,low
Puk,1,el,1.27,1.74,50.0,1.0,3.0,2.0,3.0,3.0,none
Puk,1,fa,11.85,7.47,50.0,3.0,3.0,4.0,3.0,3.0,average
Puk,1,fa,6.52,5.81,100.0,3.0,3.0,3.0,3.0,3.0,good
Puk,1,fa,7.7,5.69,100.0,3.0,3.0,4.0,4.0,4.0,average
Puk,1,ka,10.81,3.45,100.0,3.0,2.0,1.0,1.0,1.0,none
Puk,1,ka,17.83,6.56,75.0,4.0,2.0,1.0,1.0,1.0,low
Puk,1,nd,12.5,6.62,100.0,3.0,3.0,3.0,3.0,3.0,good
Puk,1,nd,7.97,5.88,75.0,2.5,3.0,3.0,3.0,3.5,average
Puk,1,nd,8.58,7.48,100.0,3.5,3.0,2.5,3.5,3.0,good
Puk,1,ob,6.05,5.44,100.0,3.0,2.5,3.5,3.5,3.0,average
Puk,1,ov,6.76,6.76,75.0,1.0,1.0,3.0,3.0,3.0,none
Puk,1,ov,13.99,9.09,100.0,4.0,2.0,2.0,2.0,2.0,average
Puk,1,ov,8.65,5.95,100.0,1.5,1.0,3.0,3.0,3.0,none
Puk,1,ov,16.79,13.17,100.0,4.0,2.0,3.0,3.0,2.5,good
Puk,1,pu,2.45,3.06,50.0,1.5,4.0,1.0,2.0,3.0,none
Puk,1,re,9.84,8.68,75.0,2.0,2.0,4.0,4.0,4.0,average
Puk,1,re,4.98,4.05,75.0,2.0,2.5,3.0,3.0,3.0,low
Puk,1,re,8.92,6.14,75.0,2.5,3.0,4.0,4.0,3.5,average
Puk,1,re,13.39,6.6,75.0,3.0,2.5,3.0,3.0,2.5,average
Puk,1,re,13.43,9.03,100.0,4.0,2.0,4.0,3.0,2.5,good
Puk,1,rd,9.84,5.67,100.0,1.5,1.5,2.0,2.0,2.0,none
Puk,2,am,4.73,5.31,100.0,2.0,3.0,3.0,4.0,4.0,good
Puk,2,am,6.35,4.62,100.0,3.0,4.0,2.0,3.0,4.0,average
Puk,2,bxs,18.99,10.73,75.0,3.0,3.0,3.5,3.0,3.0,good
Puk,2,br,7.3,5.91,100.0,2.0,2.0,3.0,4.0,4.0,low
Puk,2,br,8.11,4.98,100.0,3.0,1.0,4.0,4.0,4.0,average
Puk,2,el,5.25,3.5,50.0,2.0,3.0,3.0,3.0,4.0,low
Puk,2,fa,16.69,9.48,50.0,4.0,3.0,4.0,4.0,3.0,best
Puk,2,fa,2.37,2.73,50.0,1.0,3.0,3.0,3.0,3.0,none
Puk,2,fa,10.08,6.52,50.0,3.0,3.0,4.0,4.0,4.0,average
Puk,2,fr,17.19,12.45,50.0,4.0,4.0,4.0,4.0,4.0,good
Puk,2,ka,1.27,1.12,25.0,1.5,3.0,0.0,2.0,3.0,none
Puk,2,ka,5.75,4.6,25.0,2.0,2.0,3.0,3.0,3.0,none
Puk,2,nd,15.69,8.95,100.0,3.0,3.0,4.0,4.0,3.0,good
Puk,2,nd,17.03,10.42,100.0,3.0,3.0,4.0,4.0,3.0,good
Puk,2,nd,17.77,10.42,50.0,3.0,3.0,2.0,2.0,2.0,average
Puk,2,nd,17.4,10.66,75.0,3.0,2.0,4.0,4.0,3.0,good
Puk,2,ob,10.16,7.74,100.0,3.0,3.0,4.0,4.0,4.0,good
Puk,2,ov,6.06,4.2,100.0,1.5,1.5,2.0,2.0,1.0,none
Puk,2,ov,10.37,5.6,100.0,3.0,2.0,2.0,2.0,1.0,low
Puk,2,ov,2.56,2.91,75.0,1.0,1.0,2.0,2.0,3.0,none
Puk,2,ov,8.98,4.08,75.0,4.0,2.0,2.0,2.0,2.0,average
Puk,2,pu,7.84,4.29,25.0,2.0,4.0,1.0,2.0,3.0,none
Puk,2,re,5.44,4.05,50.0,1.0,2.0,3.0,3.0,3.0,none
Puk,2,re,11.93,11.0,100.0,3.5,3.0,4.0,4.0,3.5,good
Puk,2,re,12.39,10.77,75.0,3.0,3.0,4.0,4.0,4.0,good
Puk,2,re,17.95,13.66,100.0,5.0,3.0,4.5,4.5,4.0,best
Puk,2,re,10.07,12.74,100.0,2.5,2.5,5.0,5.0,5.0,good
Puk,2,rd,8.56,3.33,75.0,2.0,3.0,2.0,2.0,2.0,none
Puk,2,sm,1.56,2.16,50.0,1.0,2.0,2.0,2.0,3.0,none
Puk,3,am,20.43,10.39,75.0,3.0,4.0,2.0,3.0,2.0,good
Puk,3,am,16.04,8.66,100.0,3.0,4.0,4.0,4.0,4.0,good
Puk,3,bxs,11.9,7.2,100.0,3.0,2.0,3.0,3.0,3.0,average
Puk,3,br,2.66,2.08,100.0,2.0,1.5,1.0,2.0,3.0,none
Puk,3,br,5.1,2.66,75.0,3.0,2.0,2.0,2.0,3.0,low
Puk,3,el,12.24,5.83,25.0,2.0,3.0,3.0,3.0,3.0,low
Puk,3,fa,21.93,9.84,100.0,4.0,3.0,3.5,3.0,2.0,good
Puk,3,fa,24.16,10.31,75.0,4.5,3.0,4.0,3.0,2.0,good
Puk,3,fa,24.77,10.67,100.0,4.5,3.0,4.0,3.0,2.0,good
Puk,3,fr,16.83,10.31,75.0,4.0,3.0,4.0,4.0,3.0,best
Puk,3,ka,8.4,3.91,100.0,3.0,2.0,1.0,2.0,1.0,none
Puk,3,ka,5.75,4.26,75.0,2.0,3.0,2.0,2.0,2.0,none
Puk,3,nd,16.54,7.23,100.0,3.0,2.5,3.0,4.0,2.0,good
Puk,3,nd,13.73,7.6,75.0,2.5,2.0,3.0,3.0,3.0,average
Puk,3,nd,16.3,7.84,100.0,3.0,3.0,3.0,3.0,3.0,average
Puk,3,nd,13.73,8.58,75.0,3.0,3.0,3.0,3.0,3.0,average
Puk,3,ob,16.93,8.1,75.0,2.5,2.0,2.5,2.5,2.0,average
Puk,3,ov,2.68,2.33,75.0,1.0,1.5,2.0,2.0,2.0,none
Puk,3,ov,11.66,6.18,75.0,3.0,2.0,3.0,3.0,3.0,average
Puk,3,ov,3.03,1.75,75.0,1.0,2.0,2.0,2.0,2.0,none
Puk,3,ov,6.41,3.26,75.0,2.0,2.0,2.0,2.0,2.0,low
Puk,3,pu,10.78,6.62,100.0,2.5,4.0,3.0,3.0,2.0,average
Puk,3,re,14.59,8.68,100.0,3.0,2.0,4.0,3.0,3.0,average
Puk,3,re,17.95,13.09,75.0,4.0,3.0,4.0,3.5,3.0,good
Puk,3,re,18.87,14.24,75.0,5.0,3.0,5.0,4.0,4.5,best
Puk,3,re,17.72,11.93,75.0,4.0,3.0,5.0,4.0,4.0,best
Puk,3,re,13.55,9.26,75.0,3.0,3.0,4.0,4.0,3.5,good
Puk,3,rd,9.63,5.11,50.0,1.0,0.5,2.0,2.0,2.0,none
Puk,3,sm,2.63,2.39,50.0,1.0,1.5,1.0,2.0,2.0,none
Paw,1,am,24.94,14.33,10.0,3.0,4.0,3.5,4.0,3.0,good
Paw,1,co,29.22,13.58,30.0,3.6,3.8,3.5,3.9,3.7,good
Paw,1,cr,26.59,10.8,40.0,3.6,3.8,2.6,2.6,2.5,good
Paw,1,fa,35.54,13.02,20.0,3.2,3.5,2.5,2.5,2.3,good
Paw,1,fa,38.15,16.85,10.0,3.5,4.0,3.3,4.0,3.5,best
Paw,1,fr,33.89,14.24,20.0,3.1,3.5,3.2,3.8,2.5,good
Paw,1,ni,37.49,17.45,40.0,4.5,2.6,3.6,2.9,2.3,good
Paw,1,ni,31.63,13.91,60.0,3.6,2.6,3.6,3.3,2.8,good
Paw,1,nd,20.11,13.55,20.0,3.0,4.0,4.0,4.0,4.0,average
Paw,1,nd,22.15,14.57,20.0,3.0,4.0,3.0,3.4,3.0,good
Paw,1,nd,20.4,10.2,10.0,3.3,4.5,3.3,4.0,3.5,good
Paw,1,ob,24.87,11.66,40.0,3.3,3.4,3.5,4.1,3.4,good
Paw,1,ob,33.16,14.75,40.0,3.7,3.5,3.6,3.6,2.9,good
Paw,1,ov,31.05,15.25,30.0,3.2,1.8,2.8,3.5,2.9,average
Paw,1,ov,31.33,15.67,30.0,4.1,2.3,3.4,4.0,3.1,good
Paw,1,pu,32.97,14.24,40.0,3.2,4.0,3.1,3.3,3.0,good
Paw,1,re,20.25,10.66,30.0,2.7,3.0,4.0,4.2,3.7,good
Paw,1,re,27.44,11.32,20.0,3.5,3.0,3.3,4.0,2.9,best
Paw,1,rd,19.91,6.77,40.0,1.6,1.8,2.3,2.5,2.3,low
Paw,2,am,34.11,16.48,20.0,3.5,3.8,3.2,3.9,2.5,good
Paw,2,am,35.83,21.5,10.0,3.3,3.5,4.0,4.5,3.0,best
Paw,2,co,33.19,14.42,30.0,3.6,3.7,3.2,3.7,3.2,good
Paw,2,cr,27.13,11.88,90.0,3.3,3.7,2.1,2.1,2.0,average
Paw,2,fr,15.52,7.83,10.0,2.0,4.0,4.0,4.0,4.0,low
Paw,2,nd,39.79,17.49,10.0,4.0,4.0,3.3,2.5,1.5,average
Paw,2,nd,32.5,14.57,10.0,2.7,3.0,3.0,4.0,3.0,good
Paw,2,ov,32.86,13.86,30.0,2.8,2.0,3.1,3.1,2.3,good
Paw,2,ov,39.79,18.02,40.0,4.3,2.5,3.4,3.8,3.1,best
Paw,2,pu,8.72,10.17,10.0,1.5,4.0,4.0,4.0,4.0,none
Paw,2,re,27.97,14.65,10.0,3.0,3.5,3.5,3.0,3.0,good
Paw,2,re,39.69,18.25,30.0,3.9,3.8,4.2,4.1,3.6,best
Paw,2,rd,13.81,10.62,10.0,1.5,3.0,2.0,4.0,3.0,none
Paw,3,co,38.79,14.56,50.0,3.9,3.6,3.2,3.5,2.4,best
Paw,3,cr,26.05,12.15,10.0,3.0,3.0,2.5,3.3,3.0,average
Paw,3,fa,26.51,7.66,10.0,2.5,3.0,3.0,3.0,3.0,average
Paw,3,fr,14.24,7.12,10.0,2.0,3.0,3.0,4.0,4.0,low
Paw,3,nd,33.81,10.93,10.0,3.3,4.0,3.3,4.0,2.7,good
Paw,3,nd,31.33,10.2,10.0,3.5,4.0,3.0,4.0,3.0,best
Paw,3,nd,30.75,14.57,20.0,3.8,4.0,3.5,4.0,2.9,good
Paw,3,ob,35.4,14.05,10.0,3.0,3.0,3.3,3.5,3.0,best
Paw,3,ov,17.33,8.32,40.0,1.9,2.1,2.5,3.0,2.8,low
Paw,3,re,9.99,5.33,10.0,1.5,2.5,3.0,3.0,3.0,none
K81a,1,bxs,2.84,3.41,3.0,1.0,2.0,3.0,3.0,3.0,none
K81a,1,co,7.99,5.49,17.0,2.0,3.0,2.5,3.3,3.0,low
K81a,1,fa,8.3,5.93,4.0,2.0,3.5,3.0,3.0,3.0,none
K81a,1,fa,15.58,8.06,27.0,3.0,3.5,3.0,2.5,3.0,average
K81a,1,nd,4.56,3.58,13.0,2.0,3.0,2.0,3.0,3.0,none
K81a,1,nd,5.43,4.44,9.0,1.0,2.0,2.0,3.0,3.0,none
K81a,1,ov,13.07,8.12,14.0,1.5,1.5,2.0,3.0,3.0,low
K81a,1,ov,23.55,14.36,37.0,4.0,2.0,3.0,3.5,2.0,best
K81a,1,ov,16.25,9.77,85.0,4.0,2.0,2.5,4.0,2.5,best
K81a,1,re,17.08,10.25,7.0,2.5,3.0,3.0,3.5,3.0,low
K81a,1,re,14.69,9.68,21.0,3.0,3.0,3.3,3.5,3.3,average
K81a,1,re,11.62,7.4,33.0,3.0,3.0,3.5,3.5,3.3,average
K81a,1,rd,9.48,6.16,50.0,2.0,1.8,2.5,3.0,2.5,low
K81a,1,ov,10.24,6.95,46.0,2.0,2.0,3.0,4.0,3.0,low
K81a,3,am,14.22,11.45,35.0,3.0,3.0,3.0,4.0,3.0,good
K81a,3,am,9.16,7.23,17.0,3.0,4.0,3.0,4.0,4.0,average
K81a,3,bxs,6.92,4.54,48.0,3.0,3.0,2.5,2.0,2.0,average
K81a,3,co,8.83,8.6,63.0,3.0,3.5,3.5,3.5,3.0,average
K81a,3,fa,17.42,9.01,45.0,4.5,4.5,3.0,2.0,1.5,best
K81a,3,fa,13.04,9.36,55.0,4.0,4.0,3.0,2.5,2.0,good
K81a,3,nd,17.27,9.01,48.0,3.5,3.0,3.3,4.0,3.0,best
K81a,3,nd,11.84,9.13,18.0,2.5,3.5,2.5,3.5,3.0,average
K81a,3,ov,9.54,6.83,13.0,2.5,1.8,2.5,4.0,3.0,average
K81a,3,ov,7.89,5.65,45.0,2.5,2.0,3.0,3.3,2.5,average
K81a,3,ov,12.72,10.6,37.0,3.0,2.0,3.5,4.5,4.3,best
K81a,3,ov,11.07,8.95,70.0,3.0,2.0,2.5,4.0,3.0,good
K81a,3,re,10.25,10.02,36.0,3.0,3.0,4.0,4.5,3.5,average
K81a,3,re,14.46,11.73,60.0,4.5,4.0,3.5,3.5,2.5,best
K81a,3,re,15.37,10.82,13.0,3.0,2.7,3.5,3.5,3.0,average
K81a,3,re,11.96,9.91,33.0,4.0,4.0,4.0,4.0,4.0,good
K81a,3,re,12.41,9.68,67.0,4.0,4.0,3.5,4.0,3.0,good
K81a,3,rd,7.94,6.16,51.0,2.5,2.0,2.5,4.5,4.0,average
K81a,3,br,5.98,4.03,43.0,2.5,2.0,3.3,4.0,3.5,average
Mor,1,am,21.86,10.0,42.785714285714285,2.5242857142857145,2.0171428571428573,3.2857142857142856,3.97,3.474285714285714,none
Mor,1,am,33.65,15.36,42.57142857142857,2.5485714285714285,2.0342857142857143,3.2714285714285714,3.94,3.4485714285714284,none
Mor,1,am,18.01,3.26,42.357142857142854,2.572857142857143,2.0514285714285716,3.257142857142857,3.91,3.422857142857143,none
Mor,1,am,24.72,11.29,42.142857142857146,2.597142857142857,2.0685714285714285,3.242857142857143,3.88,3.3971428571428572,none
Mor,1,am,20.85,9.52,41.92857142857143,2.6214285714285714,2.085714285714286,3.228571428571428,3.85,3.3714285714285714,none
